context; target; verb; marker; embedded; source; question; cP; MatixTime; MatrixSubject; MatrixPerson; MatrixNumber; AnnotationValue1; AnnotationValue2; AnnotationValue3; AnnotationValue4; AnnotationValue5; Mean; Label; Variance; SD
Molnár Pál Riporter: - Minálunk olyannyira nem átlátható, hogy Varga Mihály korábbi pénzügyminiszter úgy látja, hogy mintegy 450 milliárd forintot a mostani Pénzügyminisztérium tartalékol egy esetleges választási költségvetésre. Elképzelhető ez?; Csaba László közgazdász professzor: - Az egy kérdés, hogy effektíve benne van -e ez a bizonyos 450 milliárd, amit az Állami SzáMűsorvezetőevőszék talált, hogy az pénzforgalmi szemléletben, tehát a közvetlen elkölthetőség szempontjából benne van -e a költségvetésben, de hát azt gondolom, hogy az elmúlt hetek megrázkódtatásait követően egészen biztos, hogy senki nem gondolhat arra, hogy a magyar kormány tetszése szerint költ erre meg amarra.; gondol; tagadás, modális; A magyar kormány tetszése szerint költ erre meg amarra.; MNSZ, spok_hu_radio_000.txt; Ön szerint a beszélő mennyire biztos abban, hogy a magyar kormány tetszése szerint költ erre meg amarra?; ; ; ; ; ; ; ; ; ; ; ; ; ; 
A mai Magyarországon kerül az emberek elé, vagy esetleg a Felvidéken is vagy még messzebb is távolabbi tájakon is majd megnézhetik az érdeklődők?; Forgalmazót nem sikerült találnunk a filmnek, magunk modnjuk így hogy házalunk vele, tehát egyesével hívogatjuk fel a mozikat és kérdezzük hogy nem gondolnák -e hogy játszanák.; gondol; modális, tagadás,  kérdés; Játsszák a mozik a filmet.; MNSZ, spok_hu_radio_000.txt; Ön szerint a beszélő mennyire biztos abban, hogy játsszák a mozik a filmet?; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Szabó Attila szerint, ennek is lehet pozitív hatása, ha a szabályszegő autós felfedezi kocsiját az oldalon. "akkor is el fog gondolkodni azon, hogy mit tett.; Most én nem gondolom, hogy el fog futni templomba és meggyónja a bűnét; gondol; tagadás; El fog futni a templomba és meggyónja a bűnét.; MNSZ, spok_hu_radio_000.txt; Ön szerint Szabó Attila mennyire biztos abban, hogy a szabályszegő el fog futni a templomba és meggyónja a bűnét?; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Nagyon sokan mondták, meg hát ugye én is abban a szellemben nőttem föl, hogy hát igenis a szülés az egy női dolog. Vannak olyan intim női dolgok, amiket, tehát hogy nem kell mindenről fellebenteni a fátylat, meg úgy sokkal szebb, hogyha csak a mosolygós végeredményt mutatjuk be. Úgyhogy hát ezek, ez a két dolog, tehát amit ugye nyilván otthon hallottam évek alatt, meg ezek az új irányzatok, ezek így bennem is hadakoztak, de aztán győzött ez az új.; 7 gyereket szült, de soha nem gondolta azt, hogy dúla szeretne lenni pl.; gondol; tagadás; Dúla szeretne lenni.; MNSZ, spok_hu_radio_000.txt; Ön szerint a beszélő mennyire biztos abban, hogy a hétgyerekes nő dúla szeretne lenni?; igen; ; ; ; ; ; ; ; ; ; ; ; ; 
Nagyon sok olyat megtanultunk mind az iskolában mind eddigi munkahelyeinken, amit most szeretnénk termőre fordítani.; Nem gondoljuk azt hogy ezeket ne lehetne akár kisvállalkozások számára gyümölcsöző módon lefordítani; gondol; tagadás; Ezeket nem lehet kisvállalkozások számára gyümölcsöző módon lefordítani.; MNSZ, spok_hu_radio_000.txt; Ön szerint a beszélő mennyire biztos abban, hogy a tanultakat nem lehet kisvállalkozások számára gyümölcsöző módon lefordítani?; igen; ; ; ; ; ; ; ; ; ; ; ; ; 
Hatalmas idegesség volt bennem, de amikor a képekkel kezdtünk el foglalkozni, az tényleg öt perc alatt megszűnt.; Mert valahogy olyan átjön a képeken többen mondták mások is, hogy nem gondoltam volna, hogy tényleg ilyen erős kisugárzása lesz a képeknek is.; gondol; tagadás; Ilyen erős kisugárzása van a képeknek is.; MNSZ, spok_hu_radio_000.txt; Ön szerint a beszélő mennyire volt biztos abban, hogy ilyen erős kisugárzása van a képeknek is?; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Ilyen kifejezést olvasok, hogy megjelentek azok a potyautasok is, akik visszaélnek az állami gondoskodás felkínált lehetőségével. És olvasok egy ilyen kifejezést is, hogy szociális bűnözés.; Nem gondolják hogy netán indulatokat is zúdíthatnak önmagukra?; gondol; tagadott kérdés; Indulatokat zúdíthatnak önmagukra.; MNSZ, spok_hu_radio_000.txt; Ön szerint a beszélő mennyire biztos abban, hogy indulatokat zúdíthatnak önmagukra, akik visszaélnek az állami gondoskodással?; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Hajnal Géza barátom szövegét a 2007-es Szent Erzsébet évforduló ihlette meg, ez inspirálta őt hogy megalkosson egy művet.; Először nem gondoltam hogy ebből én valóban musicalt fogok írni egy ilyen témából ami elsőre talán nem hangzik színpad képesnek, de ahogy Szilvi már említette egy valódi emberi problémákkal és emberi érzésekkel küzdő nőt látunk a színpadon.; gondol; tagadás; Musicalt fogok írni egy ilyen témából.; MNSZ, spok_hu_radio_000.txt; Ön szerint a beszélő mennyire volt biztos abban, hogy musicalt fog írni egy ilyen témából?; ; ; ; ; ; ; ; ; ; ; ; ; ; 
A csíksomlyói búcsúra induló Boldogasszony zarándokvonattal érkeznek Nyírő József székely író haMűsorvezetőai Erdélybe. Pünkösd szombatján Csíkszeredába, innen díszkísérettel át a szeretett Hargitáján Székelyudvarhelyre és vasárnap temetik.; Amikor Budai László szervezte ezt a zarándokvonatot, nem gondolta még, hogy ilyen különleges küldetése lesz.; gondol; tagadás; Ilyen különleges küldetése lesz.; MNSZ, spok_hu_radio_000.txt; Ön szerint a beszélő mennyire biztos abban, hogy Budai Lászlónak ilyen különleges küldetése volt?; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Most elsőéves ifista és a világranglistán ő most már a harminchatodik, az európain huszonegyedik.; Nekem is már egy kicsit túlzás, mert nem gondoltam, hogy ilyen jól sikerül.; gondol; tagadás; Ilyen jól sikerül.; MNSZ, spok_hu_radio_000.txt; Ön szerint a beszélő mennyire volt biztos abban, hogy ilyen jól sikerül?; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Berg József: - Hát ami most van, azt senki nem számított rá,; senki nem gondolta, hogy itten - 1948 óta nem volt az, ami most van.; gondol; tagadás; Itt 1948 óta nem volt az, ami most van.; MNSZ, spok_hu_radio_000.txt; Ön szerint Berg József mennyire biztos abban, hogy itt 1948 óta nem volt az, ami most van?; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Gadácsi János :- Miért gondolták hogy ez a jó ügy, hogy a magyarok védelmére kelni?; Nem gondolták hogy esetleg azok a románok tesznek majd jót majd összességében az országnak akik Vásárhely felé tartottak?; gondol; tagadás, kérdés; Azok a románok tesznek majd jót majd összességében az országnak akik Vásárhely felé tartottak.; MNSZ, spok_hu_radio_000.txt; Ön szerint Gadácsi János mennyire biztos abban, hogy azok a románok tettek jót az országnak, akik Vásárhely felé tartottak?; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Csath Magdolna: - Ha csak saját maguktól rá nem jönnek arra, hogy a saját jövőbeli esélyeiket is mérséklik azzal, hogyha nagyon rövidtávú szemlélettel minden pénzt amit lehet ki akarnak csavarni az emberekből.; Én egyébként nem gondolom, hogy az emberek felelőtlenül vettek fel hitelt.; gondol; tagadás; Az emberek felelőtlenül vettek fel hitelt.; MNSZ, spok_hu_radio_000.txt; Ön szerint Csath Magdolna mennyire biztos abban, hogy az emberek felelőtlenül vettek fel hitelt?; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Igen, hogyne, hát mi mindig nézünk, hogy milyen árfolyamon van és múlt évben is 248-ért vettünk nyár elején.; - Nem gondoltak még arra, hogy várnak egy kicsit, hát hogyha lejjebb csúszik olyan 240 körül?; gondol; tagadás, kérdés; Várnak egy kicsit, hát hogyha lejjebb csúszik olyan 240 körül?; MNSZ, spok_hu_radio_000.txt; Ön szerint a beszélő mennyire biztos abban, hogy ha beszélgetőpartnere vár egy kicsit, lejjebb csúszik az árfolyam 240 körülire?; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Terényi Zoltánné pszichológus: - Először nagyon nehezen tudtak beszélni.; Valahol ugyan tapasztaltak valami másságot ezen a két gyereken, de azért ezt soha nem gondolták, hogy ilyen következik.; gondol; tagadás; Ilyen dolog fog következni.; MNSZ, spok_hu_radio_000.txt; Ön szerint Terényi Zoltánné mennyire biztos abban, hogy ilyen dolog következett be?; ; ; ; ; ; ; ; ; ; ; ; ; ; 
A másik természetesen az emberek csak ebből vannak informálva és hogyha állandóan azt hallják és azt olvassák és főcímen azt olvassák, hogy ez az új magyar kormány milyen, akkor sajnos elhiszik. Én mást nem csinálok az utolsó egy évben csak védekezem.; Soha nem hittem volna, hogy intelligens művelt barátaimnak kell elmagyaráznom, hogy hol a hiba és hogy hogy kell látniuk az egészet és nem hiszik el.; hisz; modális, tagadás; intelligens művelt barátaimnak kell elmagyaráznom, hogy hol a hiba és hogy hogy kell látniuk az egészet és nem hiszik el.; MNSZ, spok_hu_radio_000.txt; Ön szerint a beszélő mennyire volt biztos abban, hogy intelligens művelt barátainak kell elmagyaráznia, hogy hol a hiba és hogy hogy kell látniuk az egészet?; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Műsorunknak telefonált egy hajléktalan asszony, lakásmaffia áldozata. Vállalkozó volt.; Nem hitte el, hogy butikozásból, piacozásból nem tud egyszer pénzt csinálni.; hisz ; tagadás; Butikozásból, piacozásból nem tud egyszer pénzt csinálni.; MNSZ, spok_hu_radio_000.txt; Ön szerint a beszélőmennyire biztos abban, hogy a hajléktalan asszony butikozásból, piacozásból nem tud egyszer pénzt csinálni?; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Ezt el szoktam mondani a gyerekeknek is akik nem hisznek az álmaikban és félnek az álmaikat valóra váltani, vagy megpróbálni valóra váltani.; Nem hittem én sem abban hogy valaha lehetséges lesz az hogy olimpiai érmes legyek.; hisz; tagadás; Lehetséges az, hogy olimpiai érmes legyen.; MNSZ, spok_hu_radio_000.txt; Ön szerint a beszélő mennyire volt biztos abban, hogy lehetséges az, hogy olimpiai érmes legyen?; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Én mindig hittem abban, hogy a fa nem egy süket élet a fa éppúgy tud örülni, szenvedni, mint ahogy az ember tud. Mozdulatlan, mert gyökerei a földhöz kötik.; De soha nem hittem azt, hogy nincs az erdőnek, a fának lelke.; hisz; tagadás; Nincs az erdőnek, a fának lelke.; MNSZ, spok_hu_radio_000.txt; Ön szerint a beszélő mennyire biztos abban, hogy nincs az erdőnek, a fának lelke?; igen; ; ; ; ; ; ; ; ; ; ; ; ; 
Fülöp Lajos: - Hát köztársaságról nincsen szó, csak bizonyos autonómiáról. Ugye nincsen szó arról, hogy külön akarnánk válni.; Nem vagyunk szeparatisták, mert 92%-a a lakosságnak megszavazta, hogy Ukrajnához fogunk tartozni, ezért hát úgy vélem, hogy ez csak egy nacionalista húzás azért, hogy tudják törölni a ruszinságot és beolvasztani az ukrán metnoszba ugyanakkor, amikor nekünk megvan a saját történelmünk, megvan a saját anyanyelvünk, múltunk, stb. és ezért harcolunk, hogy el legyünk ismerve.; vél; modális; Ez csak egy nacionalista húzás azért, hogy tudják törölni a ruszinságot.; MNSZ, spok_hu_radio_000.txt; Ön szerint Fülöp Lajos mennyire biztos abban, hogy ez csak egy nacionalista húzás azért, hogy tudják törölni a ruszinságot?; ; ; ; ; ; ; ; ; ; ; ; ; ; 
A férfi vízilabda bajnokság rangadóján Honvéd-Szeged 6-8. Kiss Csabát a Szeged játékosát halljuk.; Volt már egy-két Honvéd-Szeged ami ugyanilyen őrült módon alakult, három keresztül úgy vélem, hogy azt tükrözte a játék ami a valós különbség volt a két csapat között.; vél; modális; Azt tükrözte a játék ami a valós különbség volt a két csapat között.; MNSZ, spok_hu_radio_000.txt; Ön szerint a beszélő mennyire biztos abban, hogy azt tükrözte a játék ami a valós különbség volt a két csapat között?; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Annak ellenére, hogy naponta érkeznek hírek hatalmas korrupciós ügyekről, mégis egyszerű emberek képesek lennének 2500-3000 forintot adni a saját pénztárcájukból azért, hogy csökkenjen az ország kamatterhe.; Mellár Tamás: - Én úgy vélem, hogy ez mindenképpen jó hír és megerősíti a kormánynak azt a törekvését, hogy próbál ebből az adósság csapdából megszabadulni.; vél; modális; Ez mindenképpen jó híRiporter; MNSZ, spok_hu_radio_000.txt; Ön szerint Mellár Tamás mennyire biztos abban, hogy ez mindenképpen jó hír?; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Molnár Pál: - A választópolgárok egy része nagyon szeretné az elszámoltatást. Ugyanakkor a másik oldalon ott van a jogállamiság követelménye. Teremthető -e harmónia?; Bus Béla: - Úgy vélem hogy igen.; vél; modális; Megteremthető a harmónia.; MNSZ, spok_hu_radio_000.txt; Ön szerint Bus Béla mennyire biztos abban, hogy megteremthető a harmónia?; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Tudjuk hogy Antall József aktuális, aktuális a magyarság, a lélekben tizenöt millió magyar képviselete, hiszen mi lenne más például a kettős állampolgárság megadása mint ez.; Aktuális például a kereszténydemokrácia szelleme, hiszem úgy vélem, hogy a jelenlegi kormányzat is jelentős mértékben ezen az úton jáRiporter; vél; modális; A jelenlegi kormányzat a kereszténydemokrácia útján jáRiporter; MNSZ, spok_hu_radio_000.txt; Ön szerint a beszélő mennyire biztos abban, hogy a jelenlegi kormányzat a kereszténydemokrácia útján jár?; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Miközben Gráf József miniszter nemrégiben a magyar mezőgazdaságot az uniós csatlakozás nyertesének nevezte, a magyar gazdák nagyrésze vitatja a megállapítás helyességét.; Úgy vélik a rendszerváltás óta folyamatosan vesztésre állnak a nemzetközi versenyben és a csatlakozáskor hazánkat sújtó hátrányos támogatási elvek mostanra szinte kivégezték a magyar gazdálkodókat.; vél; modális; A rendszerváltás óta a gazdák folyamatosan vesztésre állnak a nemzetközi versenyben.; MNSZ, spok_hu_radio_000.txt; Ön szerint a beszélő mennyire biztos abban, hogy a magyar gazdák nagy része rendszerváltás óta folyamatosan vesztésre áll a nemzetközi versenyben?; ; ; ; ; ; ; ; ; ; ; ; ; ; 
ifjabb Tóth György: - Volt idő, bár majdnem kerek évszázada, amikor nemcsak művészeink tudósaink miatt figyelt ránk a világ, de Párizs, Róma és London mellett Budapest is diktálta a divatot Európának. Egyesek szerint ezek az évek végképp letűntek.; Mások úgy vélik, visszahozhatók.; vél; modális; Visszahozhatók azok az idők, amikor Budapest is diktálta a divatot Európának.; MNSZ, spok_hu_radio_000.txt; Ön szerint a beszélő mennyire biztos abban, hogy visszahozhatók azok az idők, amikor Budapest is diktálta a divatot Európának?; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Az LMP váratlan és veszélyes manővernek nevezte, hogy a kormány minden költséget a bankokra terhelne.; Az ellenzéki párt támogatja annak az eseti bizottságnak a felállítását, amely a tervek szerint kivizsgálná, hogyan szabadulhatott el ilyen mértékben a devizahitelek aránya, ám úgy vélik: ennek a vizsgálatnak már márciusban meg kellett volna történnie.; vél; modális; Már márciusban ki kellett volna vizsgálni, hogy mitől szabadult el a devizahitelek aránya.; MNSZ, spok_hu_radio_000.txt; Ön szerint a beszélő mennyire biztos abban, hogy már márciusban ki kellett volna vizsgálni, hogy mitől szabadult el a devizahitelek aránya?; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Idehaza a Dunaújváros labdarúgó csapata ment csődbe. A városi előljárók nem engedik be a stadionba a játékosokat.; A klub vezetői úgy vélik, amennyiben nem állnak ki az NB II. folytatására, úgy a csapat automatikusan megszünik majd.; vél; modális; Amennyiben nem állnak ki az NB II. folytatására, úgy a csapat automatikusan megszünik majd.; MNSZ, spok_hu_radio_000.txt; Ön szerint a beszélő mennyire biztos abban, hogy amennyiben nem állnak ki az NB II. folytatására, úgy a csapat automatikusan megszűnik majd?; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Országgyűlési választásokat tartanak ma Németországban. Az utolsó felmérések szerint szoros küzdelem várható.; A közgazdász vándorgyűlés résztvevői közül sokan úgy vélik, lassan stabilizálódik a gazdaság és javul a helyzet.; vél; modális; Lassan stabilizálódik a gazdaság és javul a helyzet.; MNSZ, spok_hu_radio_000.txt; Ön szerint a beszélő mennyire biztos abban, hogy lassan stabilizálódik a gazdaság és javul a helyzet?; ; ; ; ; ; ; ; ; ; ; ; ; ; 
B. A MOL nem aggódik a magyarországi olajellátás miatt, annak biztonságának nem veszélyezteti a Jukosz olajtermelésének esetleges leállása - közölte a Magyar Rádióval a MOL sajtóirodája. Egyben közölte a Jukosz üggyel kapcsolatban nem kívánnak nyilatkozni.; Szakértők úgy vélik a magyar olajtársaság egyéb forrásokból is be tudja szerezni a szükséges olajmennyiséget.; vél; modális; A magyar olajtársaság egyéb forrásokból is be tudja szerezni a szükséges olajmennyiséget.; MNSZ, spok_hu_radio_000.txt; Ön szerint a beszélő mennyire biztos abban, hogy a magyar olajtársaság egyéb forrásokból is be tudja szerezni a szükséges olajmennyiséget?; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Civil szervezetek a nemzetközi büntetőbírósághoz fordulnak háborús bűhcselekményekkel vádolva Izraelt. A 90 főként franciaországi szervezet szerdán nyújtja be keresetét a hágai ENSZ-testületnek, erről tegnap döntöttek Párizsban.; A civilek úgy vélik, hogy Izrael azzal követett el háborús bűnöket, hogy aránytalan offenzívát indított a Gázai-övezetben sok fegyvertelen palesztin halálát okozva.; vél; modális; Izrael azzal követett el háborús bűnöket, hogy aránytalan offenzívát indított a Gázai-övezetben sok fegyvertelen palesztin halálát okozva.; MNSZ, spok_hu_radio_000.txt; Ön szerint a beszélő mennyire biztos abban, hogy Izrael azzal követett el háborús bűnöket, hogy aránytalan offenzívát indított a Gázai-övezetben sok fegyvertelen palesztin halálát okozva?; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Németh Zoltán: - A kormány ugyanis arra számít, hogy a hárommillió magánnyugdíjpénztári tag 90 százaléka teljesen visszatér az állami nyugdíjrendszerbe.; Szakértők úgy vélik, hogyha csak a magánkassza tagok valamivel több mint a fele elhagyja a pénztárát, akkor gyakorlatilag ellehetetlenülnek a magánnyugdíjpénztárak.; vél; modális; Ha csak a magánkassza tagok valamivel több mint a fele elhagyja a pénztárát, akkor gyakorlatilag ellehetetlenülnek a magánnyugdíjpénztárak.; MNSZ, spok_hu_radio_000.txt; Ön szerint a beszélő mennyire biztos abban, hogy ha csak a magánkassza tagok valamivel több mint a fele elhagyja a pénztárát, akkor gyakorlatilag ellehetetlenülnek a magánnyugdíjpénztárak?; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Rovó Attila Riporter: - A forintnak az európai hírek sem tettek jót. Megjelent az adat az úgynevezett ipari megrendelésekről. Nagyot esett vissza ez a szám.  Emiatt és más mamutcégek különböző bejelentéseitől zuhantak, majd nap végére visszakapaszkodtak a tőzsdék. Mindezek ellenére egyes londoni elemzők már bizakodóak a forintot illetően.; Úgy vélik, vissza fog térni a bizalom a magyar fizetőeszköz iránt, hazánkat pedig jövőre beveszik az euró előszobájának számító úgynevezett ERM2-es átváltási rendszerbe.; vél; modális; Vissza fog térni a bizalom a magyar fizetőeszköz iránt, hazánkat pedig jövőre beveszik az euró előszobájának számító úgynevezett ERM2-es átváltási rendszerbe.; MNSZ, spok_hu_radio_000.txt; Ön szerint a beszélő mennyire biztos abban, hogy vissza fog térni a bizalom a magyar fizetőeszköz iránt, hazánkat pedig jövőre beveszik az euró előszobájának számító úgynevezett ERM2-es átváltási rendszerbe?; ; ; ; ; ; ; ; ; ; ; ; ; ; 
A hatvanmilliós ország egy része tehát, amikor éppen nem dolgozik, szinte folyamatosan úton van szabadságra menet vagy jövet, adminisztratív módon összevarázsolt monstre többnapos ünnepek nélkül is.; Náray Balázs Riporter: - Az úgynevezett szombati munkanap magyar gyakorlatáról a munkapiacon jártas szakemberek is úgy vélik, kevéssé hatékony, ám mégis egyetértenek a munkanap-csereberével.; vél; modális; Az úgynevezett szombati munkanap Magyarországon kevéssé hatékony.; MNSZ, spok_hu_radio_000.txt; Ön szerint a beszélő mennyire biztos abban, hogy az úgynevezett szombati munkanap Magyarországon kevéssé hatékony?; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Tatai Tóth András az MSZP oktatás politikusa és Hoffmann Rózsa a Fidesz KDNP szakértője természetesen merőben másként látja az elmúlt nyolc év történéseit. Bordás Ákos Riporterortja következik.; Bordás Ákos: - Nagyon sokan úgy vélik, hogy az iskola egyre kevésbé teljesíti a tőle elvárt nevelési funkciót.; vél; modális; Az iskola egyre kevésbé teljesíti a tőle elvárt nevelési funkciót.; MNSZ, spok_hu_radio_000.txt; Ön szerint Bordás Ákos mennyire biztos abba, hogy az iskola egyre kevésbé teljesíti a tőle elvárt nevelési funkciót?; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Csak az MSZP-s felszólalók támogatták a kormány tervét az ún. Robin Hood-adó bevezetésére az Országgyűlésben.; Az ellenzéki képviselők úgy vélik, a javaslat nem alkalmas arra, hogy versenyképessé tegye a távhőszolgáltatást.; vél; modális; A javaslat nem alkalmas arra, hogy versenyképessé tegye a távhőszolgáltatást.; MNSZ, spok_hu_radio_000.txt; Ön szerint a beszélő mennyire biztos abban, hogy a javaslat nem alkalmas arra, hogy versenyképessé tegye a távhőszolgáltatást?; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Lázár János: - A névjegyzékbe való bekerüléshez szükséges regisztráció, felvetheti az ajánlás szükségességének a kérdését és összefüggését, amely komoly végiggondolást és alapos szakértői munkát igényel.; Az MSZP és a Jobbik képviselői úgy vélik, ezzel a rendszerrel a jelenlegi kormánypártok bebetonoznák hatalmukat.; vél; modális; Ezzel a rendszerrel a jelenlegi kormánypártok bebetonoznák hatalmukat.; MNSZ, spok_hu_radio_000.txt; Ön szerint Lázár János mennyire biztos abban, hogy ezzel a rendszerrel a jelenlegi kormánypártok bebetonoznák hatalmukat?; ; ; ; ; ; ; ; ; ; ; ; ; ; 
De az emberek még sokáig emlékeztek az áprilisi évkezdésre, még végül a hamis évkezdetet hamiskodással ünnepelték meg. MÁs elméletek a bolondozást a keltáknak vagy az indiaiaknak tulajdonítják.; Vannak olyanok is, akik úgy vélik, hogy az április elsejei tréfák a rómaiak szaturnália ünnepéből erednek.; vél; modális; Az április elsejei tréfák a rómaiak szaturnália ünnepéből erednek.; MNSZ, spok_hu_radio_000.txt; Ön szerint a beszélő mennyire biztos abban, hogy az április elsejei tréfák a rómaiak szaturnália ünnepéből erednek?; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Műsorvezető.: - Kiskorú veszélyeztetése miatt a szolnoki bíróság két évi felfüggesztett börtönbüntetésre ítélte azokat a kunmadarasi szülőket, akik elvi megfontolásból nem adatták be gyermeküknek a kötelező védőoltásokat. Az apa egy év, az anya 10 hónap szabadságvesztést kapott.; A szülők azért tagadták meg a vakcinák beadatását, mert úgy vélték, azok többet ártottak, mint használtak volna kisfiúknak.; vél; modális; A vakcinák többet ártottak, mint használtak volna kisfiuknak.; MNSZ, spok_hu_radio_000.txt; Ön szerint a műsorvezető mennyire biztos abban, hogy a vakcinák többet ártottak, mint használtak volna a szülők kisfiának?; ; ; ; ; ; ; ; ; ; ; ; ; ; 
A mai országos gyűlésen választhat új elnököt az MDF.; A Távirati Iroda úgy tudja, a pártvezetői tisztségre Makai Zsolt az MDF országos választmányának elnöke kapta a legtöbb jelölést.; tud; modális; A pártvezetői tisztségre Makai Zsolt az MDF országos választmányának elnöke kapta a legtöbb jelölést.; MNSZ, spok_hu_radio_000.txt; Ön szerint a beszélő mennyire biztos abban, hogy a pártvezetői tisztségre Makai Zsolt az MDF országos választmányának elnöke kapta a legtöbb jelölést?; ; ; ; ; ; ; ; ; ; ; ; ; ; 
A családok védelméről szóló törvény kimondaná, hogy a gyermek számára a legjobb, ha családban nevelkedik, ezért az állam támogatná az örökbefogadást és pusztán anyagi okok miatt nem választhatná el a gyermeket a családjától, hanem kötelessége volna segíteni. Mivel a törvény fontos alapelvként fogalmazza meg a generációk közti szolidaritást, ezért újdonságként bekerülne a szabályozásba az is, hogy a nagykorú gyermeknek kötelező eltartani azt a szülőjét, aki önhibáján kívül ezt nem képes megtenni.; A Kossuth rádió úgy tudja, hogy a családvédelmi szabályozás hamarosan társadalmi egyeztetésre kerülhet.; tud; modális; A családvédelmi szabályozás hamarosan társadalmi egyeztetésre kerülhet.; MNSZ, spok_hu_radio_000.txt; Ön szerint a beszélő mennyire biztos abban, hogy a családvédelmi szabályozás hamarosan társadalmi egyeztetésre kerülhet?; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Lapértesülés szerint hárman pályáznak az egészségbiztosítói főigazgatói posztjára. Azután kell új vezetőt kineveznie a kormányfőnek, hogy az előző főigazgató, Székely Tamás egészségügyi miniszter lett.; A Népszava úgy tudja, hogy Ungár Klára, a biztosító főigazgató-helyettese, László Imre, a Szent Imre Kórház főigazgatója és Gusztonyi Ágnes, az Országos Idegsebészeti Tudományos Intézet vezetője pályáznak a posztra.; tud; modális; Ungár Klára, a biztosító főigazgató-helyettese, László Imre, a Szent Imre Kórház főigazgatója és Gusztonyi Ágnes, az Országos Idegsebészeti Tudományos Intézet vezetője pályáznak a posztra.; MNSZ, spok_hu_radio_000.txt; Ön szerint a beszélő mennyire biztos abban, hogy Ungár Klára, a biztosító főigazgató-helyettese, László Imre, a Szent Imre Kórház főigazgatója és Gusztonyi Ágnes, az Országos Idegsebészeti Tudományos Intézet vezetője pályáznak a posztra?; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Holtan találták tokiói otthonában Nakagaba Szoicsi volt japán pénzügyminisztert - jelentette a helyi rendőrség. A hatóságok egyenlőre nem tudják hogy mi okozta az 56 éves politikus halálát. Nakagaba tavaly szeptemberben lett pénzügyminiszter és januárban mondott le, miután részegen jelent meg a hét legfejlettebb ország római konferenciája után tartott sajtótájékoztatón. Ez közfelháborodást váltott ki Japánban.; A kiotó hírügynökség úgy tudja, hogy a rendőrök nem találtak külső sérelmi nyomokat Nakagaba holttestén.; tud; modális; A rendőrök nem találtak külső sérelmi nyomokat Nakagaba holttestén.; MNSZ, spok_hu_radio_000.txt; Ön szerint a beszélő mennyire biztos abban, hogy a rendőrök nem találtak külső sérelmi nyomokat Nakagaba holttestén?; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Éles agrárviták várhatók ősszel Brüsszel és Magyarország között - írja a Világgazdaság.; A napilap úgy tudja, a vita oka, hogy a hazai agrártárca számos ponton nem ért egyet a közösségi agrárpolitika egészségügyi felülvizsgálatát célzó bizottsági javaslatcsomaggal.; tud; modális; A vita oka, hogy a hazai agrártárca számos ponton nem ért egyet a közösségi agrárpolitika egészségügyi felülvizsgálatát célzó bizottsági javaslatcsomaggal.; MNSZ, spok_hu_radio_000.txt; Ön szerint a beszélő mennyire biztos abban, hogy az agrárviták oka, hogy a hazai agrártárca számos ponton nem ért egyet a közösségi agrárpolitika egészségügyi felülvizsgálatát célzó bizottsági javaslatcsomaggal?; ; ; ; ; ; ; ; ; ; ; ; ; ; 
